x y z density
0.286646 0.340251 0.373103 0.666536
0.333905 0.375839 0.290256 0.596368
0.345856 0.321513 0.332631 0.680593
0.391707 0.336654 0.271639 0.719240
0.253481 0.391595 0.354924 0.713142
0.183891 0.381841 0.434268 0.915148
0.168056 0.443720 0.388224 0.994864
0.210637 0.351949 0.437415 0.833227
0.402444 0.290503 0.307053 0.783344
0.273179 0.408068 0.318753 0.659166
0.237874 0.374355 0.387771 0.756023
0.293778 0.286787 0.419435 0.850984
0.289096 0.258968 0.451936 0.955590
0.363564 0.400908 0.235528 0.806832
0.302420 0.337455 0.360125 0.653154
0.382518 0.308997 0.308485 0.724420
0.243147 0.412062 0.344791 0.760800
0.272483 0.488460 0.239057 0.810200
0.300948 0.377452 0.321599 0.587061
0.342327 0.398363 0.259309 0.722454
0.310978 0.421499 0.267523 0.690227
0.228667 0.437350 0.333984 0.826629
0.271653 0.267027 0.461320 0.939343
0.366582 0.301562 0.331856 0.745829
0.215888 0.291669 0.492443 0.901135
0.255608 0.392368 0.352024 0.706802
0.254703 0.389289 0.356008 0.707915
0.264190 0.430432 0.305379 0.719250
0.236670 0.265543 0.497787 0.965559
0.359652 0.416199 0.224149 0.844257
0.344428 0.356179 0.299393 0.588348
0.264047 0.561067 0.174886 0.977570
0.323640 0.450704 0.225656 0.840622
0.166193 0.284936 0.548870 0.951636
0.494538 0.229666 0.275795 0.954194
0.352774 0.293286 0.353941 0.779970
0.273966 0.307195 0.418839 0.796158
0.399573 0.378940 0.221488 0.861477
0.316676 0.311308 0.372016 0.734879
0.260881 0.363800 0.375319 0.685469
0.314156 0.413375 0.272469 0.665860
0.300691 0.418792 0.280517 0.651548
0.436853 0.268614 0.294533 0.851296
0.371581 0.343494 0.284925 0.669982
0.289057 0.355886 0.355057 0.608819
0.184977 0.433667 0.381356 0.943513
0.471241 0.331220 0.197539 0.956029
0.345282 0.299943 0.354775 0.758284
0.180084 0.413417 0.406499 0.943176
0.438800 0.339306 0.221894 0.878029
0.435947 0.323134 0.240918 0.827765
0.371821 0.260900 0.367279 0.894918
0.495734 0.284581 0.219684 0.911833
0.314037 0.385636 0.300326 0.597290
0.489854 0.321638 0.188508 0.984367
0.375031 0.416028 0.208941 0.894856
0.353829 0.440634 0.205537 0.903343
0.349004 0.376797 0.274199 0.672169
0.355798 0.394692 0.249510 0.758354
0.397439 0.243253 0.359309 0.948429
0.288481 0.247686 0.463833 0.994437
0.361033 0.462423 0.176543 0.988186
0.250629 0.347713 0.401658 0.727660
0.299831 0.274041 0.426127 0.893511
0.322805 0.440158 0.237037 0.802986
0.282976 0.418876 0.298148 0.647407
0.268754 0.508995 0.222252 0.860694
0.224719 0.269733 0.505548 0.959623
0.243569 0.434232 0.322199 0.782337
0.352965 0.236243 0.410792 0.999028
0.404501 0.305957 0.289542 0.745547
0.360515 0.395679 0.243806 0.778527
0.395011 0.381984 0.223005 0.855195
0.411135 0.260386 0.328479 0.881956
0.358198 0.375784 0.266019 0.703749
0.366850 0.312280 0.320870 0.710456
0.222150 0.366530 0.411320 0.802214
0.362726 0.397926 0.239349 0.793904
0.307909 0.338349 0.353742 0.643512
0.337174 0.411381 0.251445 0.750595
0.307333 0.335191 0.357476 0.655569
0.302907 0.345561 0.351532 0.622621
0.350395 0.311597 0.338008 0.713637
0.390378 0.338654 0.270968 0.718707
0.390961 0.330547 0.278492 0.709294
0.321457 0.364216 0.314327 0.578388
0.236262 0.359687 0.404051 0.760760
0.399446 0.247692 0.352861 0.931348
0.199138 0.529480 0.271382 0.977037
0.382874 0.337536 0.279590 0.694832
0.361006 0.288781 0.350213 0.793593
0.318201 0.426871 0.254929 0.740385
0.194299 0.454123 0.351578 0.933853
0.334063 0.430815 0.235122 0.807951
0.221935 0.308313 0.469753 0.851180
0.155114 0.352451 0.492434 0.971376
0.397682 0.306267 0.296050 0.739497
0.339890 0.410532 0.249577 0.757133
0.375916 0.387877 0.236208 0.807227
0.399671 0.416028 0.184301 0.973959
0.372778 0.368536 0.258686 0.734429
0.340198 0.371376 0.288426 0.608355
0.497157 0.223536 0.279307 0.970878
0.534892 0.225698 0.239410 0.953159
0.271710 0.408294 0.319995 0.665731
0.310836 0.349492 0.339672 0.589742
0.290917 0.391771 0.317312 0.603410
0.275395 0.360965 0.363640 0.642174
0.290229 0.391575 0.318195 0.603322
0.243185 0.307064 0.449751 0.830984
0.217440 0.419099 0.363461 0.842110
0.254844 0.463307 0.281849 0.787993
0.304231 0.500433 0.195337 0.931043
0.347464 0.328539 0.323997 0.657951
0.373085 0.256192 0.370723 0.912204
0.415739 0.333644 0.250617 0.788608
0.243750 0.464303 0.291947 0.816645
0.512702 0.269277 0.218021 0.923141
0.334742 0.378693 0.286565 0.600660
0.177231 0.377789 0.444980 0.930624
0.383202 0.377735 0.239063 0.800541
0.441182 0.230184 0.328635 0.973618
0.404649 0.360495 0.234856 0.823438
0.218384 0.407614 0.374002 0.831009
0.273842 0.485270 0.240888 0.803645
0.320230 0.405107 0.274664 0.657942
0.318867 0.402284 0.278849 0.627294
0.286870 0.374427 0.338703 0.592336
0.333688 0.397126 0.269186 0.685105
0.285620 0.353050 0.361330 0.629367
0.267797 0.390681 0.341521 0.664833
0.164848 0.319048 0.516103 0.936025
0.389706 0.394157 0.216137 0.875088
0.348520 0.441363 0.210116 0.888914
0.315697 0.274823 0.409480 0.877780
0.347845 0.411171 0.240984 0.787076
0.401707 0.415681 0.182611 0.979301
0.243710 0.429853 0.326437 0.777101
0.192475 0.348547 0.458977 0.880135
0.539292 0.238261 0.222448 0.934335
0.321760 0.442954 0.235286 0.809095
0.317512 0.479906 0.202581 0.911237
0.314916 0.332966 0.352118 0.656128
0.471344 0.221306 0.307349 0.988347
0.337727 0.263372 0.398902 0.905747
0.182281 0.495019 0.322699 0.993392
0.537161 0.216377 0.246462 0.975971
0.335833 0.379833 0.284334 0.622156
0.396431 0.403957 0.199612 0.927735
0.270494 0.449778 0.279728 0.723810
0.276305 0.553847 0.169847 0.990323
0.340502 0.345121 0.314377 0.604429
0.394769 0.411589 0.193642 0.945364
0.333777 0.245496 0.420727 0.976128
0.491329 0.266937 0.241734 0.877425
0.365722 0.410407 0.223871 0.845722
0.216189 0.561542 0.222269 0.962196
0.347579 0.471383 0.181038 0.973654
0.470404 0.220529 0.309067 0.991193
0.324022 0.360359 0.315620 0.577060
0.315770 0.352941 0.331289 0.574741
0.328594 0.278683 0.392723 0.852534
0.327834 0.373688 0.298477 0.589452
0.221789 0.544208 0.234004 0.939734
0.477465 0.272781 0.249754 0.858647
0.361076 0.383423 0.255501 0.739395
0.262528 0.436465 0.301006 0.732189
0.232128 0.274912 0.492961 0.939626
0.203745 0.450002 0.346253 0.905567
0.277108 0.286901 0.435991 0.865649
0.332034 0.261317 0.406649 0.917609
0.280950 0.312084 0.406965 0.770617
0.353298 0.334610 0.312093 0.643147
0.336692 0.362687 0.300621 0.585736
0.369624 0.437356 0.193021 0.942791
0.302461 0.279685 0.417855 0.870132
0.371240 0.358525 0.270235 0.699965
0.387462 0.236764 0.375774 0.977403
0.313176 0.270946 0.415878 0.894625
0.223725 0.466899 0.309376 0.869237
0.162430 0.384730 0.452840 0.971622
0.227380 0.450310 0.322310 0.843168
0.266931 0.333018 0.400051 0.721794
0.535494 0.224083 0.240423 0.956926
0.243160 0.405933 0.350907 0.755510
0.313925 0.282538 0.403537 0.849375
0.302348 0.340759 0.356892 0.641395
0.343717 0.306607 0.349677 0.734058
0.178907 0.464122 0.356971 0.980986
0.354249 0.424665 0.221085 0.854029
0.357614 0.373524 0.268862 0.694332
0.236978 0.433741 0.329281 0.800022
0.325922 0.417195 0.256884 0.731823
0.206417 0.524926 0.268657 0.958307
0.350203 0.368721 0.281076 0.650654
0.368487 0.361900 0.269613 0.699386
0.362907 0.285070 0.352022 0.806842
0.471739 0.345971 0.182290 0.996368
0.305477 0.426545 0.267978 0.685492
0.209328 0.575730 0.214942 0.983537
0.368929 0.373884 0.257187 0.737065
0.249224 0.386663 0.364113 0.724131
0.351534 0.373954 0.274512 0.672635
0.439100 0.252952 0.307947 0.899621
0.376709 0.401275 0.222016 0.853443
0.483175 0.296528 0.220297 0.904427
0.345529 0.384959 0.269512 0.686774
0.363674 0.386554 0.249772 0.759212
0.285545 0.264566 0.449890 0.938406
0.287091 0.337656 0.375253 0.674157
0.309721 0.436617 0.253662 0.747008
0.371421 0.374486 0.254093 0.748007
0.341269 0.400231 0.258500 0.725278
0.186537 0.394531 0.418932 0.914546
0.302360 0.360768 0.336873 0.579870
0.140716 0.325467 0.533817 0.988545
0.428101 0.274439 0.297460 0.833964
0.209219 0.384218 0.406563 0.845449
0.458600 0.327867 0.213533 0.909559
0.383597 0.232149 0.384254 0.996556
0.239260 0.387381 0.373359 0.755818
0.291341 0.533422 0.175237 0.980225
0.260073 0.409404 0.330523 0.706875
0.184699 0.482008 0.333292 0.978878
0.316832 0.280499 0.402670 0.854862
0.237458 0.319947 0.442595 0.803002
0.290620 0.375019 0.334361 0.589893
0.276182 0.334500 0.389318 0.701793
0.327483 0.324748 0.347770 0.676427
0.313804 0.394628 0.291569 0.610869
0.335045 0.385755 0.279201 0.645514
0.219663 0.372241 0.408096 0.810663
0.342737 0.358551 0.298713 0.588163
0.487358 0.264077 0.248564 0.874289
0.389801 0.374985 0.235214 0.815267
0.424127 0.318237 0.257636 0.782659
0.288492 0.366532 0.344976 0.590246
0.288548 0.383540 0.327912 0.596036
0.340700 0.309480 0.349820 0.724849
0.329057 0.375631 0.295312 0.592443
0.331233 0.265273 0.403494 0.902926
0.315328 0.407394 0.277277 0.635120
0.195857 0.385031 0.419112 0.883985
0.449390 0.223649 0.326961 0.991252
0.339002 0.422188 0.238810 0.794870
0.539066 0.248529 0.212405 0.944807
0.332819 0.314046 0.353135 0.712218
0.184181 0.422035 0.393785 0.937696
0.258014 0.449331 0.292655 0.761788
0.272970 0.423600 0.303430 0.678690
0.285749 0.326978 0.387273 0.711893
0.207098 0.361192 0.431710 0.844170
0.307888 0.355382 0.336730 0.577236
0.479906 0.268747 0.251348 0.863677
0.261496 0.557261 0.181243 0.963175
0.313771 0.327545 0.358684 0.676825
0.293832 0.284219 0.421949 0.860561
0.382201 0.271393 0.346406 0.851087
0.314091 0.426675 0.259234 0.724812
0.391338 0.258783 0.349879 0.894232
0.481733 0.332866 0.185401 0.990436
0.262563 0.413896 0.323541 0.703892
0.237128 0.309455 0.453417 0.830808
0.327465 0.362236 0.310300 0.579467
0.438123 0.287105 0.274773 0.806067
0.275936 0.459855 0.264209 0.734076
0.389392 0.401818 0.208789 0.897975
0.308491 0.446381 0.245127 0.778155
0.393504 0.329125 0.277372 0.714545
0.310180 0.354214 0.335606 0.576341
0.351847 0.375026 0.273128 0.677341
0.430640 0.384254 0.185106 0.978870
0.289379 0.273190 0.437431 0.904892
0.182706 0.427967 0.389328 0.945676
0.328531 0.456256 0.215213 0.873290
0.329032 0.440514 0.230454 0.824232
0.431747 0.310789 0.257463 0.791945
0.440505 0.304136 0.255359 0.805308
0.417498 0.329898 0.252604 0.785641
0.285765 0.371590 0.342646 0.592757
0.411506 0.252446 0.336049 0.909549
0.352269 0.366312 0.281419 0.651625
0.353880 0.448580 0.197540 0.927525
0.252367 0.544762 0.202871 0.913344
0.161851 0.414169 0.423980 0.991108
0.301440 0.501342 0.197218 0.925946
0.201383 0.418411 0.380206 0.887559
0.398691 0.406548 0.194760 0.942865
0.274410 0.334567 0.391022 0.704559
0.400240 0.305110 0.294650 0.743811
0.188733 0.478202 0.333065 0.966239
0.190162 0.297586 0.512252 0.907528
0.280816 0.473581 0.245603 0.784726
0.293947 0.328697 0.377356 0.694913
0.369023 0.292464 0.338513 0.777605
0.297775 0.397705 0.304520 0.611355
0.345670 0.334409 0.319920 0.640010
0.350360 0.432358 0.217283 0.866254
0.307148 0.362837 0.330016 0.577988
0.347697 0.288661 0.363642 0.800287
0.358712 0.261871 0.379417 0.898228
0.343489 0.352932 0.303579 0.585758
0.348803 0.381159 0.270038 0.686189
0.159521 0.407071 0.433408 0.992379
0.350308 0.319354 0.330338 0.687206
0.224137 0.288689 0.487174 0.903476
0.310660 0.278096 0.411243 0.869295
0.313236 0.399164 0.287600 0.618434
0.328785 0.336945 0.334270 0.632768
0.572513 0.217866 0.209621 0.967091
0.255658 0.484108 0.260234 0.811992
0.425308 0.343745 0.230947 0.846121
0.357330 0.350783 0.291888 0.635875
0.241828 0.391967 0.366206 0.750088
0.417326 0.237545 0.345129 0.959459
0.391682 0.355206 0.253113 0.762942
0.336005 0.323015 0.340980 0.678243
0.203464 0.511783 0.284753 0.955601
0.411496 0.256658 0.331845 0.894808
0.285340 0.429375 0.285285 0.669291
0.332405 0.423136 0.244459 0.775831
0.337120 0.279489 0.383391 0.843045
0.375186 0.314587 0.310227 0.706144
0.235356 0.282789 0.481855 0.913162
0.566459 0.239603 0.193937 0.988470
0.244148 0.480721 0.275131 0.834380
0.202347 0.277568 0.520085 0.949655
0.233684 0.429005 0.337311 0.804392
0.408966 0.388300 0.202733 0.921491
0.317802 0.296340 0.385858 0.791985
0.252865 0.405639 0.341496 0.725620
0.223879 0.385401 0.390720 0.802313
0.382840 0.381247 0.235912 0.810388
0.292144 0.483513 0.224343 0.849632
0.336121 0.428705 0.235174 0.807573
0.257576 0.379525 0.362899 0.694673
0.340636 0.485583 0.173781 0.991669
0.364536 0.321463 0.314001 0.682950
0.312310 0.291014 0.396676 0.817761
0.264813 0.552816 0.182371 0.960885
0.178352 0.447434 0.374214 0.970755
0.308715 0.280938 0.410346 0.860010
0.332306 0.316558 0.351136 0.703262
0.205027 0.395090 0.399883 0.862805
0.323636 0.314750 0.361613 0.715918
0.372503 0.348369 0.279128 0.680472
0.251816 0.393208 0.354976 0.719424
0.346076 0.373314 0.280611 0.648474
0.217193 0.399073 0.383734 0.829220
0.455310 0.265412 0.279278 0.860675
0.343473 0.314553 0.341974 0.705269
0.323868 0.425256 0.250876 0.754200
0.384919 0.383716 0.231366 0.825545
0.417321 0.350748 0.231931 0.838810
0.221459 0.503349 0.275192 0.908463
0.256755 0.523992 0.219253 0.873230
0.304933 0.274625 0.420442 0.887215
0.184013 0.409291 0.406695 0.929986
0.220004 0.337833 0.442163 0.811832
0.162114 0.281946 0.555939 0.960439
0.285548 0.453273 0.261179 0.722474
0.177005 0.451577 0.371418 0.977147
0.312679 0.367242 0.320080 0.578906
0.162499 0.388750 0.448751 0.973782
0.215760 0.564192 0.220048 0.964646
0.346332 0.366422 0.287246 0.626373
0.261899 0.467564 0.270537 0.775772
0.348197 0.338194 0.313608 0.630651
0.456413 0.304839 0.238748 0.848097
0.449187 0.221423 0.329390 0.998626
0.300718 0.376770 0.322512 0.586586
0.218996 0.505432 0.275572 0.915762
0.413198 0.257816 0.328986 0.890272
0.264709 0.333065 0.402227 0.725534
0.358293 0.411973 0.229734 0.825652
0.288802 0.313184 0.398014 0.757331
0.427971 0.384268 0.187761 0.970604
0.195075 0.525866 0.279060 0.983604
0.312661 0.466459 0.220879 0.857095
0.308863 0.428522 0.262615 0.711987
0.198168 0.363773 0.438059 0.869317
0.485570 0.305557 0.208873 0.932341
0.302871 0.417224 0.279904 0.649130
0.292226 0.322542 0.385232 0.719083
0.428008 0.331675 0.240317 0.823338
0.373415 0.405122 0.221464 0.854636
0.378908 0.380035 0.241057 0.792573
0.241336 0.362410 0.396254 0.745281
0.283266 0.338015 0.378719 0.679205
0.435337 0.333906 0.230758 0.852579
0.427453 0.320104 0.252444 0.795538
0.292598 0.337190 0.370212 0.667348
0.395428 0.308904 0.295668 0.732196
0.262005 0.399519 0.338476 0.691332
0.333734 0.413257 0.253009 0.745198
0.334779 0.422132 0.243089 0.780377
0.412650 0.361316 0.226033 0.853308
0.383058 0.267519 0.349423 0.865119
0.427379 0.269593 0.303028 0.848697
0.255020 0.300215 0.444764 0.840348
0.345245 0.457102 0.197653 0.926490
0.478057 0.303201 0.218742 0.905541
0.355644 0.389773 0.254582 0.741009
0.414514 0.273466 0.312019 0.837285
0.195687 0.316168 0.488145 0.875503
0.217873 0.461383 0.320744 0.878749
0.323913 0.441266 0.234822 0.810310
0.305921 0.358761 0.335318 0.577997
0.220472 0.500740 0.278788 0.908447
0.402479 0.289588 0.307933 0.786114
0.328792 0.379630 0.291578 0.597191
0.328572 0.406450 0.264978 0.700964
0.300229 0.311541 0.388230 0.750516
0.360231 0.252709 0.387060 0.932641
0.235834 0.429238 0.334928 0.798572
0.201508 0.480995 0.317496 0.936848
0.382324 0.350354 0.267321 0.717631
0.334266 0.405802 0.259931 0.719904
0.286040 0.367224 0.346737 0.592574
0.368672 0.400869 0.230459 0.824461
0.397533 0.391662 0.210805 0.893750
0.309365 0.309117 0.381518 0.750245
0.332430 0.482863 0.184708 0.961660
0.361610 0.392598 0.245792 0.772037
0.477669 0.254141 0.268189 0.890328
0.257988 0.392162 0.349850 0.698983
0.254121 0.291675 0.454204 0.869563
0.411651 0.398756 0.189594 0.961206
0.346607 0.453402 0.199991 0.919676
0.323912 0.373269 0.302818 0.586766
0.193697 0.452420 0.353883 0.934113
0.225090 0.444771 0.330139 0.843700
0.481261 0.280930 0.237808 0.869779
0.422551 0.314513 0.262936 0.773279
0.258576 0.400441 0.340984 0.703209
0.282605 0.377412 0.339983 0.596624
0.285061 0.371664 0.343274 0.593402
0.465437 0.341150 0.193412 0.965184
0.374312 0.256544 0.369143 0.910241
0.159926 0.288214 0.551860 0.950180
0.360996 0.394500 0.244504 0.776257
0.478093 0.286434 0.235473 0.870694
0.278185 0.365739 0.356076 0.625321
0.192920 0.430401 0.376679 0.919626
0.379476 0.402723 0.217801 0.867505
0.527660 0.278936 0.193405 0.981428
0.470483 0.312819 0.216698 0.906906
0.269616 0.263799 0.466585 0.951527
0.446346 0.267935 0.285719 0.853366
0.250585 0.405178 0.344238 0.732230
0.456942 0.362798 0.180260 0.998601
0.377029 0.269298 0.353673 0.860776
0.288521 0.447186 0.264293 0.709788
0.339348 0.248004 0.412648 0.963366
0.414739 0.400431 0.184830 0.975828
0.298727 0.390844 0.310429 0.601495
0.412882 0.292352 0.294765 0.780952
0.491625 0.234164 0.274211 0.942297
0.236207 0.520964 0.242829 0.892095
0.355387 0.382918 0.261695 0.716859
0.357234 0.328637 0.314129 0.660516
0.243993 0.287635 0.468372 0.891300
0.302748 0.376224 0.321028 0.585773
0.289579 0.363116 0.347305 0.589734
0.468791 0.276534 0.254675 0.846651
0.407729 0.290401 0.301870 0.784684
0.337640 0.311620 0.350740 0.718489
0.318875 0.362872 0.318253 0.577073
0.286431 0.348775 0.364795 0.640488
0.267286 0.303697 0.429017 0.815786
0.318714 0.305887 0.375399 0.753938
0.213580 0.464348 0.322071 0.892468
0.236159 0.385593 0.378248 0.764701
0.387955 0.411356 0.200689 0.922666
0.346752 0.302018 0.351230 0.749764
0.314254 0.426828 0.258918 0.726012
0.360795 0.259618 0.379587 0.905738
0.307307 0.381573 0.311120 0.590661
0.211860 0.421172 0.366969 0.859740
0.274764 0.397515 0.327722 0.641168
0.399063 0.360928 0.240009 0.805273
0.283681 0.292766 0.423552 0.838240
0.325458 0.341845 0.332698 0.616103
0.337204 0.385772 0.277024 0.655727
0.360867 0.368755 0.270377 0.691596
0.268900 0.295842 0.435257 0.841549
0.290276 0.424100 0.285623 0.659337
0.272077 0.476235 0.251688 0.768866
0.194339 0.464299 0.341362 0.941674
0.248627 0.401178 0.350196 0.735001
0.398475 0.340452 0.261073 0.748281
0.253038 0.374997 0.371965 0.708520
0.384218 0.366238 0.249544 0.768587
0.479742 0.303600 0.216657 0.911240
0.356600 0.296732 0.346668 0.765513
0.213270 0.432214 0.354516 0.864615
0.292959 0.359808 0.347232 0.587273
0.279688 0.424152 0.296160 0.657490
0.187846 0.478389 0.333765 0.968573
0.374891 0.314892 0.310217 0.705193
0.332453 0.294719 0.372829 0.786460
0.310204 0.307203 0.382592 0.756781
0.206548 0.335173 0.458278 0.844766
0.344160 0.315606 0.340234 0.701308
0.421149 0.287657 0.291194 0.795996
0.174261 0.460392 0.365347 0.990254
0.457404 0.296799 0.245796 0.836522
0.240260 0.364144 0.395596 0.748270
0.220662 0.405066 0.374272 0.822566
0.331791 0.326154 0.342055 0.669091
0.288707 0.357346 0.353947 0.601938
0.202991 0.572496 0.224513 0.993915
0.376325 0.297351 0.326324 0.759542
0.404826 0.399941 0.195233 0.942876
0.338011 0.459364 0.202625 0.911428
0.294597 0.346015 0.359388 0.634062
0.285107 0.316305 0.398587 0.750408
0.202675 0.428382 0.368943 0.891154
0.342773 0.394626 0.262601 0.710711
0.320791 0.320881 0.358328 0.695275
0.299567 0.327222 0.373210 0.693180
0.307319 0.356828 0.335853 0.577388
0.303727 0.376037 0.320236 0.585480
0.167160 0.405550 0.427290 0.972180
0.349406 0.261112 0.389482 0.906814
0.373134 0.294118 0.332749 0.770976
0.360236 0.359824 0.279940 0.663969
0.273936 0.396327 0.329737 0.644323
0.377389 0.248103 0.374509 0.940572
0.277842 0.529806 0.192353 0.937924
0.273032 0.376483 0.350485 0.640112
0.284625 0.535928 0.179447 0.969517
0.284469 0.400812 0.314719 0.616552
0.298649 0.357807 0.343544 0.582761
0.326001 0.463614 0.210385 0.888179
0.227941 0.365660 0.406399 0.785057
0.327681 0.351577 0.320742 0.575323
0.256618 0.501672 0.241710 0.832092
0.354728 0.246148 0.399124 0.960938
0.387631 0.320403 0.291966 0.704782
0.226956 0.369251 0.403792 0.788395
0.379855 0.438627 0.181519 0.977936
0.193110 0.424222 0.382668 0.914726
0.199807 0.510312 0.289881 0.962822
0.181115 0.428298 0.390587 0.950172
0.276408 0.376799 0.346793 0.624816
0.538235 0.215762 0.246004 0.977198
0.304923 0.510039 0.185038 0.957889
0.315643 0.317724 0.366634 0.711470
0.389316 0.430622 0.180063 0.983988
0.233091 0.427030 0.339878 0.804134
0.242663 0.424051 0.333286 0.773883
0.326117 0.351716 0.322167 0.574919
0.433614 0.251936 0.314449 0.904351
0.332548 0.323701 0.343751 0.677378
0.262094 0.477210 0.260696 0.788168
0.350206 0.354574 0.295220 0.615053
0.232266 0.337321 0.430413 0.783425
0.465959 0.278045 0.255996 0.842498
0.412839 0.386036 0.201126 0.927399
0.219625 0.318992 0.461384 0.832139
0.298132 0.385694 0.316174 0.595281
0.273277 0.383972 0.342751 0.640081
0.379642 0.337063 0.283295 0.685581
0.350005 0.382667 0.267328 0.695922
0.360670 0.385873 0.253456 0.746083
0.371028 0.433606 0.195365 0.936008
0.403259 0.395564 0.201177 0.924640
0.297801 0.330057 0.372142 0.685177
0.263048 0.324936 0.412015 0.751400
0.394303 0.314301 0.291396 0.721373
0.273318 0.381170 0.345512 0.639182
0.464134 0.345799 0.190067 0.973771
0.246969 0.454805 0.298226 0.797357
0.178442 0.350858 0.470700 0.915801
0.304960 0.310719 0.384321 0.748595
0.392067 0.334870 0.273062 0.717449
0.366194 0.396029 0.237777 0.799765
0.290113 0.352009 0.357878 0.621603
0.341187 0.398566 0.260247 0.718992
0.359204 0.351835 0.288961 0.643391
0.369082 0.381869 0.249048 0.763282
0.254504 0.282888 0.462607 0.898465
0.225157 0.457336 0.317507 0.856074
0.259528 0.313950 0.426522 0.790379
0.291239 0.353763 0.354998 0.611551
0.369939 0.252520 0.377541 0.927850
0.400178 0.379637 0.220184 0.865693
0.389987 0.319724 0.290289 0.708806
0.263902 0.375698 0.360400 0.673115
0.293963 0.308839 0.397198 0.767596
0.239109 0.334766 0.426125 0.771452
0.413216 0.322224 0.264560 0.758650
0.374899 0.383385 0.241716 0.789053
0.367358 0.374167 0.258476 0.732240
0.336930 0.252571 0.410499 0.947686
0.206362 0.419241 0.374397 0.874008
0.213720 0.337065 0.449215 0.827198
0.262341 0.449329 0.288330 0.750025
0.379422 0.388009 0.232569 0.819998
0.371291 0.348627 0.280081 0.677049
0.313486 0.365306 0.321208 0.577873
0.283862 0.408517 0.307621 0.628620
0.392528 0.424192 0.183280 0.975412
0.271802 0.401182 0.327016 0.658002
0.375516 0.358423 0.266061 0.714856
0.483220 0.262352 0.254428 0.873803
0.193015 0.539456 0.267528 0.996090
0.365233 0.383207 0.251560 0.753766
0.277364 0.449366 0.273270 0.711119
0.418009 0.365809 0.216182 0.884538
0.265432 0.334365 0.400203 0.720769
0.276943 0.391387 0.331670 0.623264
0.347927 0.300111 0.351963 0.756384
0.213795 0.455396 0.330809 0.883749
0.350506 0.468537 0.180958 0.974334
0.408369 0.381627 0.210004 0.899430
0.182505 0.390127 0.427368 0.923083
0.486122 0.243343 0.270535 0.918007
0.373497 0.356684 0.269818 0.703065
0.362109 0.382212 0.255679 0.739148
0.264377 0.342916 0.392707 0.702434
0.426634 0.230877 0.342489 0.978151
0.300022 0.346288 0.353690 0.624114
0.383680 0.411702 0.204618 0.909768
0.369595 0.314619 0.315786 0.703997
0.263363 0.314774 0.421863 0.782905
0.283263 0.396486 0.320251 0.611098
0.357110 0.313533 0.329356 0.705987
0.380548 0.344296 0.275156 0.698456
0.315463 0.312205 0.372332 0.732554
0.410221 0.359842 0.229938 0.840710
0.542963 0.241344 0.215693 0.941672
0.318657 0.294831 0.386512 0.797152
0.204442 0.334622 0.460936 0.849831
0.388213 0.252101 0.359686 0.920234
0.303462 0.395265 0.301272 0.608429
